"HHID","PID","PID_Old","HHID_old","DynID","h2q1","h2q3","h2q4","h2q5","h2q6","h2q7","h2q8","h2q9a","h2q9b","h2q9c","h2q10","h2q11","h2q13_1","h2q13_2","wgt_X"
"H06302-04-01","P06302-002","107300120202",1073001202,6302,2,2,2,10,20,2,29,99,99,1984,1,2,,,2551.70141601563
"H06302-04-01","P06302-003","107300120203",1073001202,6302,3,2,3,10,20,2,5,99,5,2008,,2,,,2551.70141601563
"H06302-04-01","P06302-004","107300120204",1073001202,6302,4,2,3,10,20,2,3,13,4,2010,,2,,,2551.70141601563
"H06303-04-01","P06303-002","10730012030201",1073001203,6303,1,2,1,12,,1,73,99,99,1941,4,1,,,850.567138671875
"H06303-04-01","P06303-003","10730012030202",1073001203,6303,2,2,3,12,,1,34,99,99,1980,3,1,,,850.567138671875
"H06303-04-01","P06303-004","10730012030204",1073001203,6303,3,1,4,12,,1,13,99,99,2001,5,1,,,850.567138671875
"H06303-04-01","P06303-005","1073001203020",1073001203,6303,4,2,4,12,,1,13,99,99,2001,5,1,,,850.567138671875
"H06303-04-01","P06303-006","1073001203030",1073001203,6303,5,1,4,12,,2,11,99,99,2003,5,1,,,850.567138671875
"H06303-04-01","P06303-008","10730012030208",1073001203,6303,6,1,4,12,,1,6,99,99,2008,,1,,,850.567138671875
"H06303-04-01","P06303-010","10730012030210",1073001203,6303,7,2,4,12,,1,5,25,5,2009,,1,,,850.567138671875
"H06303-04-01","P06303-011","10730012030211",1073001203,6303,8,1,4,4,20,1,14,99,99,2000,5,1,,,850.567138671875
"H06303-04-01","P06303-014","301073001203020303",1073001203,6303,9,2,4,12,,1,2,26,1,2012,,1,,,850.567138671875
"H06303-04-02","P06303-012","10730012030203",107300120302,6303,3,2,2,12,,1,24,99,99,1990,2,1,,,850.567138671875
"H06303-04-02","P06303-013","301073001203020302",107300120302,6303,1,1,1,12,,1,58,99,99,1956,2,1,,,850.567138671875
"H06303-04-02","P06303-015",,107300120302,,5,1,3,12,,1,1,99,3,2013,,1,,,850.567138671875
"H06303-04-03","P06303-007","10730012030207",3.0107300120302e+015,6303,1,2,1,12,,1,28,99,99,1986,3,1,,,850.567138671875
"H06303-04-03","P06303-016",,3.0107300120302e+015,,2,2,7,6,4,1,7,99,99,2007,,1,,,850.567138671875
"H06303-04-03","P06303-017",,3.0107300120302e+015,,3,2,3,12,,1,2,1,3,2012,,1,,,850.567138671875
"H06303-04-03","P06303-018",,3.0107300120302e+015,,4,1,10,12,,1,68,99,99,1946,4,1,,,850.567138671875
"H06305-04-01","P06305-001","107300120501",1073001205,6305,1,2,1,12,,1,49,99,99,1964,4,1,,,2551.70141601563
"H06305-04-01","P06305-003","107300120503",1073001205,6305,2,1,4,12,,1,8,99,99,2005,,1,,,2551.70141601563
"H06305-04-01","P06305-004","107300120504",1073001205,6305,3,1,4,12,,1,10,99,99,2003,5,1,,,2551.70141601563
"H06305-04-01","P06305-005","107300120505",1073001205,6305,4,1,8,12,,1,46,99,99,1967,3,1,,,2551.70141601563
"H06306-04-01","P06306-001","107300120601",1073001206,6306,1,1,1,12,,1,32,99,99,1981,1,1,,,2551.70141601563
"H06306-04-01","P06306-002","107300120602",1073001206,6306,2,1,3,12,,1,13,99,5,2000,5,1,,,2551.70141601563
"H06306-04-01","P06306-004","107300120604",1073001206,6306,3,2,2,12,,1,31,99,99,1982,1,1,,,2551.70141601563
"H06306-04-01","P06306-005","107300120605",1073001206,6306,4,2,7,12,,1,6,99,99,2007,,1,,,2551.70141601563
"H06306-04-01","P06306-006",,1073001206,,5,1,8,12,,1,12,25,4,2001,5,1,,,2551.70141601563
"H06306-04-01","P06306-007",,1073001206,,6,2,3,12,,1,1,18,11,2012,,1,,,2551.70141601563
"H06307-04-01","P06307-001","107300120701",1073001207,6307,1,2,1,12,,1,33,99,99,1981,1,1,,,2551.70141601563
"H06307-04-01","P06307-002","107300120702",1073001207,6307,2,1,7,12,,1,24,2,3,1989,5,1,,,2551.70141601563
"H06307-04-01","P06307-003","107300120703",1073001207,6307,3,2,3,12,,1,14,16,7,1999,5,1,,,2551.70141601563
"H06307-04-01","P06307-004","107300120704",1073001207,6307,4,2,3,12,,1,12,4,5,2001,5,1,,,2551.70141601563
"H06307-04-01","P06307-005","107300120705",1073001207,6307,5,1,3,12,,1,10,7,9,2003,5,1,,,2551.70141601563
"H06307-04-01","P06307-006","107300120706",1073001207,6307,6,1,3,12,,1,5,3,4,2009,,1,,,2551.70141601563
"H06307-04-01","P06307-007","107300120707",1073001207,6307,7,1,2,12,,1,54,99,99,1959,2,1,,,2551.70141601563
"H06307-04-01","P06307-009",,1073001207,,8,2,4,12,,1,6,7,3,2008,,1,,,2551.70141601563
"H06307-04-01","P06307-010",,1073001207,,9,2,7,6,8,3,30,4,2,1984,3,1,,,2551.70141601563
"H06309-04-01","P06309-001","107300120901",1073001209,6309,1,2,1,12,,1,32,99,99,1981,1,1,,,2551.70141601563
"H06309-04-01","P06309-002","107300120902",1073001209,6309,2,2,3,12,,1,16,99,99,1997,5,1,,,2551.70141601563
"H06309-04-01","P06309-003","107300120903",1073001209,6309,3,2,3,12,,1,14,99,99,1999,5,1,,,2551.70141601563
"H06309-04-01","P06309-004","107300120904",1073001209,6309,4,1,3,12,,1,9,99,99,2004,,1,,,2551.70141601563
"H06309-04-01","P06309-005","107300120905",1073001209,6309,5,1,7,12,,1,21,99,4,1992,5,1,,,2551.70141601563
"H06310-04-01","P06310-001","107300121001",1073001210,6310,1,1,1,6,20,1,70,99,99,1943,1,1,,,850.567138671875
"H06310-04-01","P06310-002","107300121002",1073001210,6310,2,2,2,12,,1,36,20,11,1977,1,1,,,850.567138671875
"H06310-04-01","P06310-003","107300121003",1073001210,6310,3,1,3,12,,2,17,99,99,1996,5,1,,,850.567138671875
"H06310-04-01","P06310-005","107300121005",1073001210,6310,4,2,10,12,,1,13,99,99,2000,5,1,,,850.567138671875
"H06310-04-01","P06310-006","107300121006",1073001210,6310,5,2,10,12,,1,12,99,99,2001,5,1,,,850.567138671875
"H06310-04-01","P06310-007","107300121007",1073001210,6310,6,1,3,12,,1,11,1,6,2002,5,1,,,850.567138671875
"H06310-04-01","P06310-008","107300121008",1073001210,6310,7,1,3,12,,1,9,15,4,2004,,1,,,850.567138671875
"H06310-04-01","P06310-009","107300121009",1073001210,6310,8,1,3,12,,1,8,1,11,2005,,1,,,850.567138671875
"H06310-04-01","P06310-010","107300121010",1073001210,6310,9,1,10,12,,1,18,99,99,1995,5,1,,,850.567138671875
"H06310-04-01","P06310-011","107300121011",1073001210,6310,10,1,4,12,,1,11,99,99,2002,5,1,,,850.567138671875
"H06310-04-01","P06310-020",,1073001210,,11,2,10,12,,1,35,9,2,1979,3,1,,,850.567138671875
"H06310-04-02","P06310-016","1073001210040",107300121003,6310,1,1,1,4,20,1,25,14,5,1988,1,1,,,850.567138671875
"H06310-04-02","P06310-023",,107300121003,,4,2,2,4,20,1,21,99,99,1993,1,1,,,850.567138671875
"H06310-04-03","P06310-019","21073001210030101",107300121004,6310,1,1,1,12,,1,32,99,99,1982,1,1,,,850.567138671875
"H06310-04-03","P06310-021",,107300121004,,2,2,2,12,,1,24,99,99,1990,1,1,,,850.567138671875
"H06310-04-03","P06310-022",,107300121004,,3,2,3,12,,1,5,7,6,2009,,1,,,850.567138671875
"H06401-04-01","P06401-001","107300160101",1073001601,6401,1,1,1,12,,1,32,99,99,1981,5,1,,,2551.70141601563
"H06402-04-01","P06402-001","107300160201",1073001602,6402,1,1,1,12,,1,54,99,10,1959,1,1,,,2551.70141601563
"H06402-04-01","P06402-002","107300160202",1073001602,6402,2,2,2,9,20,3,51,99,10,1962,1,1,,,2551.70141601563
"H06403-04-01","P06403-001","107300160301",1073001603,6403,1,2,1,12,,1,74,99,99,1939,4,1,,,2551.70141601563
"H06404-04-01","P06404-001","107300160401",1073001604,6404,1,1,1,12,,1,36,21,7,1977,1,1,,,2551.70141601563
"H06404-04-01","P06404-003","107300160403",1073001604,6404,2,1,3,12,,1,12,2,8,2001,5,1,,,2551.70141601563
"H06404-04-01","P06404-005",,1073001604,,3,2,2,1,8,1,27,2,2,1986,1,1,,,2551.70141601563
"H06404-04-01","P06404-006",,1073001604,,4,1,8,1,20,1,1,20,5,2012,,1,,,2551.70141601563
"H06405-04-01","P06405-001","107300160501",1073001605,6405,1,1,1,12,,1,70,99,99,1944,1,1,,,2551.70141601563
"H06405-04-01","P06405-002","107300160502",1073001605,6405,2,2,2,12,,1,43,22,9,1970,1,1,,,2551.70141601563
"H06405-04-01","P06405-003","107300160503",1073001605,6405,3,2,3,12,,1,23,18,12,1990,5,1,,,2551.70141601563
"H06405-04-01","P06405-004","107300160504",1073001605,6405,4,1,3,12,,2,21,27,5,1993,5,1,,,2551.70141601563
"H06405-04-01","P06405-005","107300160505",1073001605,6405,5,1,3,5,15,4,17,2,7,1996,5,1,,,2551.70141601563
"H06405-04-01","P06405-006","107300160506",1073001605,6405,6,2,3,4,15,4,14,24,9,1999,5,1,,,2551.70141601563
"H06405-04-01","P06405-007","107300160507",1073001605,6405,7,2,3,12,,1,10,6,2,2004,5,1,,,2551.70141601563
"H06406-04-01","P06406-001","107300160601",1073001606,6406,1,1,1,12,,1,30,1,1,1983,1,1,,,2551.70141601563
"H06406-04-01","P06406-003","107300160603",1073001606,6406,2,1,3,12,,1,5,30,10,2008,,2,1,107,2551.70141601563
"H06406-04-01","P06406-004","107300160604",1073001606,6406,3,2,3,12,,1,7,99,6,2006,,2,,,2551.70141601563
"H06406-04-01","P06406-006",,1073001606,,4,2,2,12,,1,21,99,12,1991,1,1,,,2551.70141601563
"H06406-04-01","P06406-007",,1073001606,,5,1,3,12,,1,1,25,10,2012,,1,,,2551.70141601563
"H06408-04-01","P06408-001","107300160801",1073001608,6408,1,2,1,12,,1,42,99,1,1972,2,1,,,2551.70141601563
"H06408-04-01","P06408-002","107300160802",1073001608,6408,2,1,2,12,,1,42,99,99,1971,2,1,,,2551.70141601563
"H06408-04-01","P06408-004","107300160804",1073001608,6408,6,2,3,7,8,3,18,2,8,1995,3,1,,,2551.70141601563
"H06408-04-01","P06408-005","107300160805",1073001608,6408,4,1,3,12,,1,14,20,2,1999,5,1,,,2551.70141601563
"H06408-04-01","P06408-006","107300160806",1073001608,6408,5,1,8,12,,1,8,99,99,2006,,1,,,2551.70141601563
"H06408-04-01","P06408-008",,1073001608,,7,1,4,9,13,1,3,9,6,2011,,1,,,2551.70141601563
"H06409-04-01","P06409-001","107300160901",1073001609,6409,1,1,1,9,12,2,31,28,8,1982,1,1,,,2551.70141601563
"H06409-04-01","P06409-002","107300160902",1073001609,6409,2,2,2,12,,1,29,99,99,1984,1,1,,,2551.70141601563
"H06409-04-01","P06409-003","107300160903",1073001609,6409,3,1,3,12,,1,13,1,3,2000,5,1,,,2551.70141601563
"H06409-04-01","P06409-004","107300160904",1073001609,6409,4,1,3,12,,1,12,1,3,2001,5,1,,,2551.70141601563
"H06409-04-01","P06409-006","107300160906",1073001609,6409,5,2,3,12,,1,9,27,9,2004,,1,,,2551.70141601563
"H06409-04-01","P06409-007","107300160907",1073001609,6409,6,2,3,12,,1,7,27,6,2006,,1,,,2551.70141601563
"H06409-04-01","P06409-008","107300160908",1073001609,6409,7,1,3,12,,1,5,19,5,2008,,1,,,2551.70141601563
"H06409-04-01","P06409-009","107300160909",1073001609,6409,8,1,3,12,,1,4,25,5,2010,,1,,,2551.70141601563
"H06409-04-01","P06409-010","107300160910",1073001609,6409,9,2,3,12,,1,1,12,8,2012,,1,,,2551.70141601563
"H06410-04-01","P06410-001","107300161001",1073001610,6410,1,1,1,12,,1,48,15,3,1965,1,1,,,2551.70141601563
"H06410-04-01","P06410-002","107300161002",1073001610,6410,2,2,2,12,,1,24,31,7,1989,1,1,,,2551.70141601563
"H06410-04-01","P06410-003","107300161003",1073001610,6410,3,1,3,12,,1,4,16,6,2010,,1,,,2551.70141601563
"H06410-04-01","P06410-015","107300161004",1073001610,6410,4,2,3,12,,1,2,1,2,2012,,1,,,2551.70141601563
"H06410-04-01","P06410-022",,1073001610,,5,1,3,3,1,1,0,11,3,2014,,1,,,2551.70141601563
"H06411-04-01","P06411-001","107300161101",1073001611,6411,1,1,1,12,,1,46,99,11,1967,1,1,,,2551.70141601563
"H06411-04-01","P06411-002","107300161102",1073001611,6411,2,2,2,12,,1,34,99,99,1979,1,1,,,2551.70141601563
"H06411-04-01","P06411-006","107300161106",1073001611,6411,5,2,3,12,,1,14,15,7,1999,5,1,,,2551.70141601563
"H06411-04-01","P06411-008","107300161108",1073001611,6411,6,1,3,12,,1,11,18,2,2002,5,1,,,2551.70141601563
"H06411-04-01","P06411-009","107300161109",1073001611,6411,7,1,3,12,,1,8,16,8,2005,,1,,,2551.70141601563
"H06411-04-01","P06411-010","107300161110",1073001611,6411,8,1,3,12,,1,6,11,11,2007,,1,,,2551.70141601563
"H06411-04-01","P06411-011","107300161111",1073001611,6411,9,2,3,12,,1,3,11,4,2010,,1,,,2551.70141601563
"H06411-04-01","P06411-014",,1073001611,,10,1,3,12,,1,1,15,11,2012,,1,,,2551.70141601563
"H06411-04-01","P06411-016",,1073001611,,12,2,7,1,4,3,18,99,99,1996,5,1,,,2551.70141601563
"H06411-04-01","P06411-017",,1073001611,,13,1,7,1,4,3,14,99,99,2000,5,1,,,2551.70141601563
"H06411-04-01","P06411-018",,1073001611,,14,1,7,1,3,3,12,99,99,2002,4,1,,,2551.70141601563
"H06411-04-01","P06411-019",,1073001611,,15,2,7,1,4,3,9,99,99,2005,,1,,,2551.70141601563
"H06411-04-01","P06411-020",,1073001611,,16,1,7,1,3,3,7,99,99,2007,,1,,,2551.70141601563
"H06411-04-01","P06411-021",,1073001611,,17,2,6,1,4,3,42,99,99,1972,4,1,,,2551.70141601563
"H06601-04-01","P06601-001","107300230101",1073002301,6601,1,1,1,9,13,1,42,28,2,1972,1,1,,,2551.70141601563
"H06602-04-01","P06602-001","107300230201",1073002302,6602,1,2,1,12,,1,45,99,99,1968,3,1,,,2551.70141601563
"H06602-04-01","P06602-004","107300230204",1073002302,6602,2,2,3,4,15,3,15,99,6,1998,5,1,,,2551.70141601563
"H06603-04-01","P06603-001","107300230301",1073002303,6603,1,1,1,12,,1,39,99,99,1974,2,,,,2551.70141601563
"H06603-04-01","P06603-002","107300230302",1073002303,6603,2,2,2,12,,1,27,99,99,1986,2,,,,2551.70141601563
"H06603-04-01","P06603-003","107300230303",1073002303,6603,3,2,2,12,,1,24,99,99,1989,2,,,,2551.70141601563
"H06603-04-01","P06603-004","107300230304",1073002303,6603,4,1,3,12,,1,5,12,5,2008,,,,,2551.70141601563
"H06603-04-01","P06603-005","107300230305",1073002303,6603,5,1,3,12,,1,7,28,8,2006,,,,,2551.70141601563
"H06603-04-01","P06603-006","107300230306",1073002303,6603,6,1,3,12,,1,5,11,8,2008,,,,,2551.70141601563
"H06603-04-01","P06603-007","107300230307",1073002303,6603,7,1,3,12,,1,4,20,2,2009,,,,,2551.70141601563
"H06603-04-01","P06603-010","107300230310",1073002303,6603,10,2,3,12,,1,10,99,99,2003,5,,,,2551.70141601563
"H06603-04-01","P06603-011","107300230311",1073002303,6603,11,2,3,12,,1,1,99,2,2012,,,,,2551.70141601563
"H06603-04-01","P06603-012",,1073002303,,12,1,3,11,1,1,0,26,1,2013,,,,,2551.70141601563
"H06603-04-01","P06603-013",,1073002303,,13,1,3,12,,1,3,13,5,2010,,,,,2551.70141601563
"H06604-04-01","P06604-001","107300230401",1073002304,6604,2,2,3,12,,1,74,12,1,1940,4,1,,,2551.70141601563
"H06604-04-01","P06604-002","107300230402",1073002304,6604,3,1,4,12,,2,18,99,99,1995,5,1,,,2551.70141601563
"H06604-04-01","P06604-003","107300230403",1073002304,6604,1,2,1,12,,1,92,11,12,1921,4,1,,,2551.70141601563
"H06604-04-01","P06604-006","107300230406",1073002304,6604,5,1,4,12,,1,4,99,99,2009,,1,,,2551.70141601563
"H06604-04-01","P06604-007",,1073002304,,6,2,4,12,,1,7,99,99,2006,,1,,,2551.70141601563
"H06605-04-01","P06605-001","107300230501",1073002305,6605,1,1,1,6,8,2,84,99,99,1929,1,1,,,2551.70141601563
"H06605-04-01","P06605-008","107300230508",1073002305,6605,2,1,4,12,,1,35,99,99,1978,3,1,,,2551.70141601563
"H06605-04-01","P06605-010","107300230510",1073002305,6605,3,2,3,12,,1,52,99,99,1961,4,1,,,2551.70141601563
"H06606-04-01","P06606-001","107300230601",1073002306,6606,1,1,1,12,,1,38,23,8,1975,1,1,,,2551.70141601563
"H06606-04-01","P06606-002","107300230602",1073002306,6606,2,2,2,12,,1,27,99,3,1986,1,1,,,2551.70141601563
"H06606-04-01","P06606-003","107300230603",1073002306,6606,3,1,3,12,,1,8,15,9,2005,,1,,,2551.70141601563
"H06606-04-01","P06606-004","107300230604",1073002306,6606,4,1,3,12,,1,6,5,5,2008,,1,,,2551.70141601563
"H06606-04-01","P06606-007","107300230607",1073002306,6606,5,2,3,12,,1,3,27,12,2010,,1,,,2551.70141601563
"H06606-04-01","P06606-008",,1073002306,,6,2,3,4,1,1,0,20,2,2014,,1,,,2551.70141601563
"H06607-04-01","P06607-001","107300230701",1073002307,6607,1,2,1,11,20,2,89,99,99,1925,1,1,,,2551.70141601563
"H06607-04-01","P06607-002","107300230702",1073002307,6607,2,2,4,12,,1,30,99,99,1984,3,1,,,2551.70141601563
"H06607-04-01","P06607-003","107300230703",1073002307,6607,3,1,4,12,,1,14,13,1,2000,5,1,,,2551.70141601563
"H06607-04-01","P06607-005","107300230705",1073002307,6607,4,1,4,12,,1,3,27,5,2011,,1,,,2551.70141601563
"H06607-04-01","P06607-007","107300230707",1073002307,6607,5,1,4,12,,1,7,99,99,2007,,1,,,2551.70141601563
"H06607-04-01","P06607-008","107300230708",1073002307,6607,6,1,2,12,,1,94,99,99,1920,1,1,,,2551.70141601563
"H06608-04-01","P06608-001","107300230801",1073002308,6608,2,1,2,12,,2,42,99,4,1972,1,1,,,2551.70141601563
"H06608-04-01","P06608-002","107300230802",1073002308,6608,1,2,1,12,,1,37,99,5,1977,1,1,,,2551.70141601563
"H06608-04-01","P06608-003","107300230803",1073002308,6608,3,1,3,12,,1,15,4,4,1999,5,1,,,2551.70141601563
"H06608-04-01","P06608-004","107300230804",1073002308,6608,4,1,3,12,,1,13,16,2,2001,5,1,,,2551.70141601563
"H06608-04-01","P06608-005","107300230805",1073002308,6608,5,1,3,12,,1,11,14,8,2002,5,1,,,2551.70141601563
"H06608-04-01","P06608-006","107300230806",1073002308,6608,6,2,3,12,,1,10,28,5,2004,5,1,,,2551.70141601563
"H06608-04-01","P06608-007","107300230807",1073002308,6608,7,1,3,12,,1,8,29,6,2005,,1,,,2551.70141601563
"H06608-04-01","P06608-008","107300230808",1073002308,6608,8,2,3,12,,1,7,3,10,2006,,1,,,2551.70141601563
"H06608-04-01","P06608-009","107300230809",1073002308,6608,9,1,3,12,,1,5,3,8,2008,,1,,,2551.70141601563
"H06608-04-01","P06608-011","107300230811",1073002308,6608,10,1,3,12,,1,3,21,10,2010,,1,,,2551.70141601563
"H06608-04-01","P06608-012",,1073002308,,11,1,3,12,,1,1,8,6,2013,,1,,,2551.70141601563
"H06609-04-01","P06609-001","107300230901",1073002309,6609,1,1,1,12,,1,44,99,3,1969,1,1,,,2551.70141601563
"H06609-04-01","P06609-002","107300230902",1073002309,6609,2,2,2,12,,1,42,31,10,1971,1,1,,,2551.70141601563
"H06609-04-01","P06609-003","107300230903",1073002309,6609,3,1,3,4,15,3,16,20,9,1997,5,1,,,2551.70141601563
"H06609-04-01","P06609-004","107300230904",1073002309,6609,4,1,3,12,,1,11,7,4,2002,5,1,,,2551.70141601563
"H06609-04-01","P06609-005","107300230905",1073002309,6609,5,2,3,4,15,3,8,4,8,2005,,1,,,2551.70141601563
"H06701-04-01","P06701-001","115300270101",1153002701,6701,1,2,1,12,,1,67,99,7,1946,4,1,,,2551.701171875
"H06701-04-01","P06701-002","115300270102",1153002701,6701,2,1,4,12,,1,21,6,12,1991,5,1,,,2551.701171875
"H06701-04-01","P06701-004","115300270104",1153002701,6701,3,1,4,12,,1,11,99,99,2002,5,1,,,2551.701171875
"H06701-04-01","P06701-006","115300270106",1153002701,6701,4,1,4,12,,1,12,99,99,2001,5,1,,,2551.701171875
"H06701-04-01","P06701-007","115300270107",1153002701,6701,5,1,4,12,,1,3,99,2,2010,,1,,,2551.701171875
"H06702-04-01","P06702-001","107300270201",1073002702,6702,1,1,1,12,,1,31,16,11,1981,2,1,,,2551.701171875
"H06702-04-01","P06702-002","107300270203",1073002702,6702,2,1,3,12,,1,14,8,8,1999,5,1,,,2551.701171875
"H06702-04-01","P06702-003","107300270204",1073002702,6702,3,2,3,12,,1,12,20,4,2001,5,1,,,2551.701171875
"H06702-04-01","P06702-004","107300270205",1073002702,6702,4,2,3,12,,1,10,9,1,2003,5,1,,,2551.701171875
"H06702-04-01","P06702-005","107300270206",1073002702,6702,5,1,3,12,,1,8,11,11,2004,,1,,,2551.701171875
"H06702-04-01","P06702-006","107300270207",1073002702,6702,6,1,3,12,,1,7,19,9,2006,,1,,,2551.701171875
"H06702-04-01","P06702-008","107300270202",1073002702,6702,8,2,2,12,,1,29,22,10,1983,2,1,,,2551.701171875
"H06702-04-01","P06702-009","10730027020203",1073002702,6702,9,2,3,12,,1,16,20,1,1998,5,1,,,2551.701171875
"H06702-04-01","P06702-015",,1073002702,,10,2,3,3,1,1,0,19,7,2013,,1,,,2551.701171875
"H06703-04-01","P06703-001","115300270301",1153002703,6703,1,2,1,12,,1,54,99,99,1959,3,1,,,2551.701171875
"H06703-04-01","P06703-002","115300270302",1153002703,6703,2,1,4,12,,1,13,3,1,2000,5,1,,,2551.701171875
"H06703-04-01","P06703-003","115300270303",1153002703,6703,3,1,4,12,,1,10,23,4,2003,5,1,,,2551.701171875
"H06703-04-01","P06703-004","115300270304",1153002703,6703,4,1,4,12,,1,8,12,4,2005,,1,,,2551.701171875
"H06703-04-01","P06703-006",,1153002703,,5,1,7,12,,1,11,99,99,2002,5,2,1,115,2551.701171875
"H06704-04-01","P06704-001","115300270401",1153002704,6704,1,2,1,12,,1,45,7,2,1968,3,1,,,2551.701171875
"H06704-04-01","P06704-004","115300270404",1153002704,6704,2,1,3,12,,1,19,16,5,1994,5,1,,,2551.701171875
"H06704-04-01","P06704-006","115300270406",1153002704,6704,3,2,7,4,15,4,15,99,99,1998,5,1,,,2551.701171875
"H06704-04-01","P06704-007","115300270407",1153002704,6704,4,2,3,12,,2,12,16,5,2001,5,1,,,2551.701171875
"H06704-04-01","P06704-009","115300270409",1153002704,6704,5,1,7,12,,1,4,31,8,2009,,1,,,2551.701171875
"H06706-04-01","P06706-001","115300270601",1153002706,6706,1,1,1,12,,1,67,99,99,1946,1,1,,,2551.701171875
"H06706-04-01","P06706-002","115300270602",1153002706,6706,2,2,2,12,,1,43,99,99,1970,1,1,,,2551.701171875
"H06706-04-01","P06706-004","115300270604",1153002706,6706,4,1,3,12,,1,10,6,6,2003,5,1,,,2551.701171875
"H06706-04-01","P06706-005","115300270605",1153002706,6706,5,2,3,12,,1,14,6,6,1999,5,1,,,2551.701171875
"H06706-04-01","P06706-007","115300270607",1153002706,6706,6,2,3,11,20,2,16,99,99,1997,5,1,1,,2551.701171875
"H06706-04-01","P06706-008","115300270608",1153002706,6706,7,1,4,12,,1,3,11,7,2010,,1,,,2551.701171875
"H06706-04-01","P06706-010",,1153002706,,8,2,4,3,4,1,5,99,99,2008,,1,,,2551.701171875
"H06706-04-01","P06706-011",,1153002706,,9,2,4,4,4,1,10,99,99,2003,5,1,,,2551.701171875
"H06707-04-01","P06707-001","115300270701",1153002707,6707,1,1,1,12,,1,68,28,3,1946,1,1,,,1275.8505859375
"H06707-04-01","P06707-002","115300270702",1153002707,6707,2,2,2,12,,1,57,25,12,1956,1,1,,,1275.8505859375
"H06707-04-01","P06707-004","115300270704",1153002707,6707,3,1,4,12,,1,8,17,12,2005,,1,,,1275.8505859375
"H06707-04-01","P06707-005","115300270705",1153002707,6707,4,2,4,12,,1,12,4,9,2001,5,1,,,1275.8505859375
"H06707-04-01","P06707-014","115300270714",1153002707,6707,5,2,4,12,,1,5,99,99,2008,,1,,,1275.8505859375
"H06707-04-02","P06707-015","115300270715",,6707,1,1,1,1,18,1,28,99,99,1985,1,1,,,1275.8505859375
"H06707-04-02","P06707-021",,,,2,2,2,1,8,1,26,99,99,1987,1,1,,,1275.8505859375
"H06707-04-02","P06707-022",,,,3,2,3,1,20,1,0,9,9,2013,,1,,,1275.8505859375
"H06708-04-01","P06708-001","115300270801",1153002708,6708,1,1,1,12,,1,67,99,99,1946,4,1,,,2551.701171875
"H06708-04-01","P06708-005",,1153002708,,3,1,3,2,20,1,9,99,99,2004,,1,,,2551.701171875
"H06709-04-01","P06709-001","115300270901",1153002709,6709,1,2,1,12,,1,38,99,3,1976,2,1,,,2551.701171875
"H06709-04-01","P06709-002","115300270902",1153002709,6709,2,1,3,4,15,4,18,16,6,1995,5,1,,,2551.701171875
"H06709-04-01","P06709-003","115300270903",1153002709,6709,3,2,3,12,,2,15,21,11,1997,5,1,,,2551.701171875
"H06709-04-01","P06709-005","115300270905",1153002709,6709,4,1,3,12,,1,6,30,3,2007,,1,,,2551.701171875
"H06709-04-01","P06709-007","115300270907",1153002709,6709,5,2,3,12,,1,2,6,7,2011,,1,,,2551.701171875
"H06710-04-01","P06710-001","115300271001",1153002710,6710,1,2,1,12,,1,69,99,99,1944,4,1,,,2551.701171875
"H06710-04-01","P06710-002","115300271002",1153002710,6710,2,1,4,12,,1,13,99,99,2000,5,1,,,2551.701171875
"H06710-04-01","P06710-003","115300271003",1153002710,6710,3,2,4,12,,1,12,99,99,2001,5,1,,,2551.701171875
"H06710-04-01","P06710-005","115300271005",1153002710,6710,4,1,4,12,,1,8,99,99,2005,,1,,,2551.701171875
"H06801-04-01","P06801-004","115300310104",1153003101,6801,1,2,1,12,,1,33,99,99,1980,2,1,,,2551.701171875
"H06801-04-01","P06801-005","115300310105",1153003101,6801,2,1,3,12,,1,9,99,99,2004,,1,,,2551.701171875
"H06801-04-01","P06801-006","115300310106",1153003101,6801,3,2,3,12,,2,8,99,99,2005,,1,,,2551.701171875
"H06801-04-01","P06801-007","115300310107",1153003101,6801,4,2,3,12,,1,5,99,99,2008,,1,,,2551.701171875
"H06801-04-01","P06801-008","115300310108",1153003101,6801,5,2,3,12,,1,14,99,99,1999,5,1,,,2551.701171875
"H06801-04-01","P06801-009","115300310109",1153003101,6801,6,2,3,12,,1,2,10,4,2011,,1,,,2551.701171875
"H06802-04-01","P06802-001","115300310201",1153003102,6802,1,1,1,12,,1,29,9,10,1984,2,1,,,2551.701171875
"H06802-04-01","P06802-002","115300310202",1153003102,6802,2,2,2,8,20,4,25,99,99,1988,2,1,,,2551.701171875
"H06802-04-01","P06802-004","115300310204",1153003102,6802,4,2,2,12,,1,25,99,99,1988,2,1,,,2551.701171875
"H06802-04-01","P06802-006","115300310206",1153003102,6802,6,2,3,12,,1,2,15,2,2012,,1,,,2551.701171875
"H06802-04-01","P06802-007","115300310207",1153003102,6802,7,1,7,12,,1,20,99,99,1993,5,1,,,2551.701171875
"H06802-04-01","P06802-008","115300310208",1153003102,6802,8,1,3,4,15,4,8,19,2,2005,,1,,,2551.701171875
"H06803-04-01","P06803-001","115300310301",1153003103,6803,1,2,1,12,,1,63,99,99,1950,4,1,,,2551.701171875
"H06803-04-01","P06803-002","115300310302",1153003103,6803,2,2,4,12,,1,6,9,2,2008,,1,,,2551.701171875
"H06803-04-01","P06803-003","115300310303",1153003103,6803,3,2,3,12,,1,31,99,99,1982,3,1,,,2551.701171875
